FighterName,ImageLink
Mackenzie Dern,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/DERN_MACKENZIE_L_08-03.png?itok=7MptkMFK
Amanda Ribas,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/RIBAS_AMANDA_L_03-2.png?itok=ngNq-djF
Santiago Ponzinibbio,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-07/PONZINIBBIO_SANTIAGO_L_07-13.png?itok=GQmEjJbR
Carlston Harris,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-03/HARRIS_CARLSTON_L_03-11.png?itok=ImmW3O-M
Cesar Almeida,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/ALMEIDA_CESAR_L_10-05.png?itok=BM-q4mn1
Abdul Razak Alhassan,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/ALHASSAN_ABDUL_L_10-12.png?itok=wUBF9-Hu
Chris Curtis,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/CURTIS_CHRIS_L_04-06.png?itok=ACZHHuGP
Roman Kopylov,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-09/KOPYLOV_ROMAN_L_09-16.png?itok=a2tfEJvH
Christian Rodriguez,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-03/RODRIGUEZ_CHRISTIAN_L_03-16.png?itok=sq0Bp39t
Austin Bashi,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/BASHI_AUSTIN_L.png?itok=3NMhcIQh
Punahele Soriano,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-11/SORIANO_PUNAHELE_L_12-02.png?itok=QXDuNt77
Uroš Medić,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-11/MEDIC_UROS_L_11-18.png?itok=1Z5HmFQB
Jose Johnson,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-02/JOHNSON_JOSE_L_02-25.png?itok=c9AQoyco
Felipe Bunes,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-06/BUNES_FELIPE_L_06-17.png?itok=JMnCiNTX
Marco Tulio,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-12/TULIO_MARCO_L.png?itok=Esmo2s_U
Ihor Potieria,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-05/POTIERIA_IHOR_L_12-02.png?itok=xoH14CXq
Thiago Moisés,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-03/MOISES_THIAGO_L_03-16.png?itok=QvmSktcf
Trey Ogden,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-11/OGDEN_TREY_L_11-18.png?itok=jd1AmXgG
Preston Parsons,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-04/PARSONS_PRESTON_L_03-25.png?itok=zb4o_M4A
Andreas Gustafsson,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/GUSTAFSSON_ANDREAS_L_08-20.png?itok=NImROm_V
Ernesta Kareckaitė,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-05/KARECKAITE_ERNESTA_R_05-04.png?itok=zlywpnP_
Nicolle Caliari,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/CALIARI_NICOLLE_R.png?itok=p3UhQmb4
Magomed Gadzhiyasulov,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-06/GADZHIYASULOV_MAGOMED_L_06-22.png?itok=bzrvhzrJ
Bruno Lopes,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/LOPES_BRUNO_L_09-05.png?itok=Ftn_SUFj
Fatima Kline,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-12/KLINE_FATIMA_L_07-13.png?itok=PdRe7AHN
Viktoriia Dudakova,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/DUDAKOVA_VIKTORIIA_L_08-03.png?itok=Qi9DUrcm
Nurullo Aliev,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-02/ALIEV_NURULLO_L_02-25.png?itok=FhpWG4Ph
Yanal Ashmouz,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/ASHMOZ_YANAL_L_07_22.png?itok=HBYGohFX
Neil Magny,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/MAGNY_NEIL_L_11-09.png?itok=P9kRnLjV
Carlos Prates,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/PRATES_CARLOS_L_08-17.png?itok=nS-EfWwt
Gerald Meerschaert,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/MEERSCHAERT_GERALD_L_11-09.png?itok=VKVgf6-E
Gaston Bolanos,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/BOLANOS_GASTON_L_11-09.png?itok=w4idOrsZ
Cortavious Romious,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/ROMIOUS_CORTAVIOUS_L_08-20.png?itok=r-Su5vHx
Luana Pinheiro,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/PINHEIRO_LUANA_L_11-09.png?itok=Qc_t-EzV
Gillian Robertson,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/ROBERTSON_GILLIAN_L_01-20.png?itok=MLrNgbCv
Mansur Abdul-Malik,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/ABDUL-MALIK_MANSUR_L_11-09.png?itok=8ONUU4jx
