RedFighter,BlueFighter,RedOdds,BlueOdds,Red_wins,Red_draws,Red_losses,Red_age,Red_height_cms,Red_reach_cms,Red_leg_reach_cm,Red_wins_by_ko,Red_wins_by_sub,Red_sig_strikes_per_min,Red_rank,Blue_wins,Blue_draws,Blue_losses,Blue_age,Blue_height_cms,Blue_reach_cms,Blue_leg_reach_cm,Blue_wins_by_ko,Blue_wins_by_sub,Blue_sig_strikes_per_min,Blue_rank,HeightDif,ReachDif,LegReachDif,WinDif,LossDif,DrawDif,AgeDif,KODif,SubDif,SigStrDif,Location,Date,BetterRank,RedFighterImage,BlueFighterImage,predicted
Mackenzie Dern,Amanda Ribas,180.0,-218.0,14,5,0,31,162.56,160.02,95.25,0,7,3.43,,12,5,0,31,162.56,167.64,93.98,3,4,4.63,,0.0,-7.6200000000000045,1.269999999999996,2,0,0,0,-3,3,-1.1999999999999995,Las Vegas United States,Jan 11,0.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/DERN_MACKENZIE_L_08-03.png?itok=7MptkMFK,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/RIBAS_AMANDA_L_03-2.png?itok=ngNq-djF,0
Santiago Ponzinibbio,Carlston Harris,-102.0,-118.0,30,8,0,37,182.88,185.42,102.87,16,6,4.74,,19,6,0,36,182.88,193.04,106.68,5,6,3.18,,0.0,-7.619999999999976,-3.8100000000000023,11,0,2,1,11,0,1.56,Las Vegas United States,Jan 11,0.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-07/PONZINIBBIO_SANTIAGO_L_07-13.png?itok=GQmEjJbR,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-03/HARRIS_CARLSTON_L_03-11.png?itok=ImmW3O-M,1
Cesar Almeida,Abdul Razak Alhassan,0.0,0.0,6,1,0,36,185.42,187.96,109.22,4,0,4.12,,12,6,0,39,177.8,185.42,99.06,12,0,3.62,,7.6200000000000045,2.539999999999992,10.159999999999997,-6,0,-5,-3,-8,0,0.5,Las Vegas United States,Jan 11,0.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/ALMEIDA_CESAR_L_10-05.png?itok=BM-q4mn1,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/ALHASSAN_ABDUL_L_10-12.png?itok=wUBF9-Hu,0
Chris Curtis,Roman Kopylov,215.0,-265.0,31,11,0,37,177.8,191.77,101.6,17,1,5.76,,13,3,0,32,182.88,190.5,104.14,11,0,4.33,,-5.079999999999984,1.2700000000000102,-2.5400000000000063,18,0,8,5,6,1,1.4299999999999995,Las Vegas United States,Jan 11,0.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/CURTIS_CHRIS_L_04-06.png?itok=ACZHHuGP,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-09/KOPYLOV_ROMAN_L_09-16.png?itok=a2tfEJvH,0
Christian Rodriguez,Austin Bashi,0.0,0.0,11,2,0,26,170.18,181.61,92.71,3,4,3.65,,1,0,0,22,368.3,0.0,0.0,0,0,2.67,,-198.12,181.61,92.71,10,0,2,4,3,4,0.98,Las Vegas United States,Jan 11,0.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-03/RODRIGUEZ_CHRISTIAN_L_03-16.png?itok=sq0Bp39t,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/BASHI_AUSTIN_L.png?itok=3NMhcIQh,0
Punahele Soriano,Uroš Medić,164.0,-198.0,9,4,0,31,180.34,184.15,104.14,6,2,4.89,,10,2,0,31,185.42,180.34,109.22,8,2,5.51,,-5.0800000000000125,3.8100000000000023,-5.079999999999998,-1,0,2,0,-2,0,-0.6200000000000001,Las Vegas United States,Jan 11,0.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-11/SORIANO_PUNAHELE_L_12-02.png?itok=QXDuNt77,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-11/MEDIC_UROS_L_11-18.png?itok=1Z5HmFQB,0
Jose Johnson,Felipe Bunes,-198.0,164.0,16,9,0,28,182.88,184.15,106.68,8,3,2.22,,13,7,0,34,170.1038,0.0,0.0,2,8,5.25,,12.776199999999989,184.15,106.68,3,0,2,-6,6,-5,-3.03,Las Vegas United States,Jan 11,0.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-02/JOHNSON_JOSE_L_02-25.png?itok=c9AQoyco,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-06/BUNES_FELIPE_L_06-17.png?itok=JMnCiNTX,0
Marco Tulio,Ihor Potieria,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0,0,4.42,,20,7,0,28,190.5,190.5,111.76,9,6,4.57,,-190.5,-190.5,-111.76,-18,0,-7,-28,-9,-6,-0.1500000000000003,Las Vegas United States,Jan 11,0.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-12/TULIO_MARCO_L.png?itok=Esmo2s_U,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-05/POTIERIA_IHOR_L_12-02.png?itok=xoH14CXq,1
Thiago Moisés,Trey Ogden,-175.0,145.0,18,8,0,29,175.26,179.07,99.06,4,7,2.39,,18,6,0,34,180.34,182.88,104.14,0,11,3.07,,-5.0800000000000125,-3.8100000000000023,-5.079999999999998,0,0,2,-5,4,-4,-0.6799999999999997,Las Vegas United States,Jan 11,0.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-03/MOISES_THIAGO_L_03-16.png?itok=QvmSktcf,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-11/OGDEN_TREY_L_11-18.png?itok=jd1AmXgG,1
Preston Parsons,Andreas Gustafsson,0.0,0.0,11,5,0,29,180.34,180.34,104.14,0,9,3.5,,1,0,0,33,433.07,186.69,106.68,0,0,4.56,,-252.73,-6.349999999999994,-2.5400000000000063,10,0,5,-4,0,9,-1.0599999999999996,Las Vegas United States,Jan 11,0.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-04/PARSONS_PRESTON_L_03-25.png?itok=zb4o_M4A,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/GUSTAFSSON_ANDREAS_L_08-20.png?itok=NImROm_V,0
